UBI	EAN	Lote	Caducidad	Piezas
1-1-1	75016630	1202221	2.2014	5
1-1-1	75016630	1207165	6.2014	1008
1-1-1	75016630	1207165	7.2014	149
1-1-1	7501672690184	2050761	5.2014	16
1-1-1	7501672690184	2091674	9.2014	161
1-1-1	7501711613037	21139	7.2013	35
1-1-1	7501711616038	212055	9.2014	1112
1-1-2	7501573900450	SC1225	3.2014	9
1-1-2	7501908253602	21030	2.2014	7
1-1-2	7501908253602	21118	6.2014	3
1-1-2	7501908253602	21119	6.2014	3
1-1-2	7501908253602	21132	7.2014	3
1-1-2	7501908253602	21137	7.2014	700
1-1-2	7501908253602	21163	8.2014	28
1-1-2	7501908253602	21167	8.2014	45
1-1-2	7501908253602	21191	9.2014	6591
1-1-2	7501908253602	211167	8.2014	540
1-1-3	7501564401065	12A27	5.2016	881
1-1-3	7502211788416	R1108277	8.2013	1
1-1-3	7502211788416	R1207613	7.2014	1
1-1-4	7501125195563	B91220	12.2013	116
1-1-4	7501125195563	B032616	3.2016	39
1-1-4	7501125195563	B061020	6.2015	20
1-1-4	7501125195563	B119928	11.2013	15
1-1-4	7501125195563	B129978	12.2013	32
1-1-4	7501349022430	B059593	5.2013	1
1-1-4	7501908251134	23019	4.2015	760
1-1-4	7501908251134	23020	4.2015	4
1-1-4	7501908251134	23021	4.2015	442
1-2-1	7501125195556	N052044	5.2014	9
1-2-1	7501125195556	N052045	5.2014	17
1-2-1	7501125195556	N062079	6.2014	3
1-2-1	7501125195556	N082034	8.2014	3
1-2-1	7501125195556	N082131	8.2014	1
1-2-1	7501125195556	N082132	8.2014	18
1-2-2	7502211788447	R1107142	8.2013	30
1-2-2	7502211788447	R1111632	11.2013	194
1-2-2	7502211788447	R1111682	11.2013	293
1-2-2	7502211788447	R1202096	2.2014	72
1-2-2	7502211788447	R1205394	5.2014	532
1-2-2	7502211788447	R1206476	6.2014	49
1-2-2	7502211788447	R1210015	10.2014	437
1-2-3	7501075714135	660282	9.2015	931
1-2-3	7501075714135	660292	9.2015	352
1-2-3	7501075714135	660312	9.2015	773
1-2-3	7502226290843	1203393	3.2014	6
1-2-3	7502227872819	R6L011	6.2014	61
1-2-4	75009182	107A11	1.2015	1
1-2-4	75016630	1207165	7.2014	1
1-2-4	75031640	A0013A10	5.2014	1
1-2-4	7501075710113	20992	10.2014	1
1-2-4	7501075713800	621922	9.2015	1
1-2-4	7501082224214	A724759A	3.2013	1
1-2-4	7501125196935	C022095	2.2016	150
1-2-4	7501125196935	C032179	3.2016	255
1-2-4	7501125196935	C042190	4.2016	50
1-2-4	7501125196935	C111925	11.2015	155
1-2-4	7501125196935	C121984	12.2015	15
1-2-4	7501125196935	C0522296	5.2016	105
1-2-4	7501125198083	I071261	7.2013	3
1-2-4	7501471886634	GK0219	7.2013	120
1-2-4	7501571200071	BBU002	6.2015	1
1-2-4	7501672690542	2060898	6.2014	1
1-2-4	7501711643362	94211	3.2013	1
1-2-4	7501908253534	21051	12.2013	1
1-2-4	7502010840117	S12165	5.2014	1
1-2-4	7502211788423	R1106962	6.2013	5
1-3-1	7501125192364	B031819	11.2014	173
1-3-1	7501125192364	B070362	3.2014	537
1-3-1	7501125192364	B071059	3.2015	7392
1-3-1	7501125193590	B090464	9.2013	1500
1-3-1	7501125193668	42312	4.2015	6400
1-3-1	7501471889000	GL2091	7.2013	2100
1-3-2	7501075713183	662410	11.2013	2961
1-3-3	656599010052	100648	6.2013	1288
1-3-3	656599010052	100649	6.2013	1
1-3-3	656599010052	100650	6.2013	1216
1-3-3	656599010052	101011	10.2013	2501
1-3-5	7501075713183	340032	1.2015	336
1-3-5	7501075713183	662410	11.2013	4452
1-3-6	7501125196935	C040143	4.2014	50
1-3-6	7501125196935	C111925	11.2015	950
1-3-6	7501125196935	C120411	12.2014	198
1-3-7	7501075714173	670322	8.2014	2611
1-3-8	7501471887679	DM8257	4.2014	660
1-3-8	7501471887679	DM8286	4.2014	1020
1-3-8	7501471887679	FL8361	6.2013	120
1-3-9	7502208892911	203275	3.2014	1458
2-1-3	75008499	121111	9.2014	1
2-1-3	75009762	111058	6.2013	27
2-1-3	656599041407	DG11MA24	5.2013	1
2-1-3	785118752811	1H799	8.2013	900
2-1-3	785118752811	1H1799	8.2013	234
2-1-3	7501075711035	8310	6.2013	1
2-1-3	7501125101519	N02120110	2.2014	1
2-1-3	7501125195556	N062079	6.2014	1
2-1-3	7501125195563	B032616	3.2016	1
2-1-3	7501250870465	20086	2.2014	1
2-1-3	7501277005307	1774K11	9.2015	1
2-1-3	7501384506575	2960812	8.2014	1
2-1-3	7501446004087	120987	8.2014	1
2-1-3	7501471888089	CM8233	3.2014	1
2-1-3	7501564401065	12A26	5.2016	100
2-1-3	7501573900450	SC1225	3.2014	1
2-1-3	7501672690184	2010066	1.2014	1
2-1-3	7501672690214	2020161	2.2014	1
2-1-3	7501711613037	21139	7.2013	1
2-1-3	7501711616038	212055	9.2014	1
2-1-3	7501908250366	11024	2.2015	19
2-1-3	7501908253602	21137	7.2014	1
2-1-3	7502211788416	R1207613	7.2014	1
2-1-3	7503004908622	1206885	6.2014	1
2-1-4	7501303443516	XB3019W	5.2013	661
2-1-4	7501471888867	FK8131	6.2013	1303
2-1-7	7501471888089	GL8442	7.2013	120
2-1-7	7501471888089	IL8550	9.2013	1912
2-1-7	7501672690542	1061172	6.2013	39
2-2-9	7501125132537	B022566	2.2014	210
